"No.","Survived","Pclass","Sex","Age","SibSp","PrCh","Fare"
1,0,3,"male",22,1,0,7
2,1,1,"female",38,1,0,71
3,1,3,"female",26,0,0,7
4,1,1,"female",35,1,0,53
5,0,3,"male",35,0,0,8
6,0,1,"male",54,0,0,51
7,0,3,"male",2,3,1,21
8,1,3,"female",27,0,2,11
9,1,2,"female",14,1,0,30
10,1,3,"female",4,1,1,16
11,1,1,"female",58,0,0,26
12,0,3,"male",20,0,0,8
13,0,3,"male",39,1,5,31
14,0,3,"female",14,0,0,7
15,1,2,"female",55,0,0,16
16,0,3,"male",2,4,1,29
17,0,3,"female",31,1,0,18
18,0,2,"male",35,0,0,26
19,1,2,"male",34,0,0,13
20,1,3,"female",15,0,0,8
21,1,1,"male",28,0,0,35
22,0,3,"female",8,3,1,21
23,1,3,"female",38,1,5,31
24,0,1,"male",19,3,2,263
25,0,1,"male",40,0,0,27
26,0,2,"male",66,0,0,10
27,0,1,"male",28,1,0,82
28,0,1,"male",42,1,0,52
29,0,3,"male",21,0,0,8
30,0,3,"female",18,2,0,18
31,1,3,"female",14,1,0,11
32,0,3,"female",40,1,0,9
33,0,2,"female",27,1,0,21
34,1,2,"female",3,1,2,41
35,1,3,"female",19,0,0,7
36,0,3,"female",18,1,0,17
37,0,3,"male",7,4,1,39
38,0,3,"male",21,0,0,7
39,1,1,"female",49,1,0,76
40,1,2,"female",29,1,0,26
41,0,1,"male",65,0,1,61
42,1,2,"female",21,0,0,10
43,0,3,"male",28,0,0,7
44,1,2,"female",5,1,2,27
45,0,3,"male",11,5,2,46
46,0,3,"male",22,0,0,7
47,1,1,"female",38,0,0,80
48,0,1,"male",45,1,0,83
49,0,3,"male",4,3,2,27
50,1,2,"female",29,0,0,10
51,0,3,"male",19,0,0,8
52,1,3,"female",17,4,2,7
53,0,3,"male",26,2,0,8
54,0,2,"male",32,0,0,10
55,0,3,"female",16,5,2,46
56,0,2,"male",21,0,0,73
57,0,3,"male",26,1,0,14
58,1,3,"male",32,0,0,56
59,0,3,"male",25,0,0,7
60,1,2,"male",1,0,2,29
61,1,3,"female",30,0,0,12
62,0,3,"male",22,0,0,9
63,1,3,"male",29,0,0,9
64,0,1,"male",28,0,0,47
65,1,2,"female",17,0,0,10
66,1,3,"female",33,3,0,15
67,0,3,"male",16,1,3,34
68,1,1,"female",23,3,2,263
69,0,3,"male",24,0,0,8
70,0,3,"male",29,0,0,8
71,0,3,"male",20,0,0,7
72,0,1,"male",46,1,0,61
73,0,3,"male",26,1,2,20
74,0,3,"male",59,0,0,7
75,0,1,"male",71,0,0,34
76,1,1,"male",23,0,1,63
77,1,2,"female",34,0,1,23
78,0,2,"male",34,1,0,26
79,0,3,"female",28,0,0,7
80,0,1,"male",21,0,1,77
81,0,3,"male",33,0,0,8
82,0,3,"male",37,2,0,7
83,0,3,"male",28,0,0,7
84,1,3,"female",21,0,0,7
85,0,3,"male",38,0,0,7
86,0,1,"male",47,0,0,52
87,0,3,"female",14,1,0,14
88,0,3,"male",22,0,0,8
89,0,3,"female",20,1,0,9
90,0,3,"female",17,0,0,14
91,0,3,"male",21,0,0,7
92,0,3,"male",70,0,0,7
93,0,2,"male",29,1,0,21
94,0,1,"male",24,0,1,247
95,0,3,"female",2,4,2,31
96,0,2,"male",21,2,0,73
97,0,2,"male",32,1,0,30
98,1,2,"female",32,0,0,13
99,0,1,"male",54,0,1,77
100,1,3,"male",12,1,0,11
101,1,3,"male",24,0,0,7
102,0,3,"male",45,0,0,6
103,0,3,"male",33,0,0,7
104,0,3,"male",20,0,0,7
105,0,3,"female",47,1,0,14
106,1,2,"female",29,1,0,26
107,0,2,"male",25,0,0,13
108,0,2,"male",23,0,0,15
109,1,1,"female",19,0,2,26
110,0,1,"male",37,1,0,53
111,0,3,"male",16,0,0,9
112,0,1,"male",24,0,0,79
113,1,3,"female",22,0,0,7
114,1,3,"female",24,1,0,15
115,0,3,"male",19,0,0,6
116,0,2,"male",18,0,0,11
117,0,2,"male",19,1,1,36
118,1,3,"male",27,0,0,7
119,0,3,"female",9,2,2,34
120,0,2,"male",36,0,2,26
121,0,2,"male",42,0,0,13
122,0,2,"male",51,0,0,12
123,1,1,"female",22,1,0,66
124,0,3,"male",56,0,0,8
125,0,3,"male",40,0,2,14
126,0,1,"male",51,0,1,61
127,1,3,"female",16,0,0,7
128,0,3,"male",30,0,0,8
129,0,3,"male",44,0,1,16
130,1,2,"female",40,0,0,15
131,0,3,"male",26,0,0,7
132,0,3,"male",17,0,0,8
133,0,3,"male",1,4,1,39
134,1,3,"male",9,0,2,20
135,0,3,"female",45,1,4,27
136,0,3,"male",28,0,0,56
137,0,1,"male",61,0,0,33
138,0,3,"male",4,4,1,29
139,1,3,"female",1,1,1,11
140,0,3,"male",21,0,0,7
141,0,1,"male",56,0,0,30
142,0,3,"male",18,1,1,7
143,0,1,"female",50,0,0,28
144,0,2,"male",30,0,0,13
145,0,3,"male",36,0,0,0
146,0,3,"male",9,4,2,31
147,1,2,"male",1,2,1,39
148,1,3,"female",4,0,2,22
149,1,1,"male",45,0,0,26
150,0,3,"male",40,1,1,15
151,0,3,"male",36,0,0,7
152,1,2,"female",32,0,0,13
153,0,2,"male",19,0,0,13
154,1,3,"female",19,1,0,7
155,1,2,"male",3,1,1,26
156,1,1,"female",44,0,0,27
157,1,1,"female",58,0,0,146
158,0,3,"male",42,0,1,8
159,0,2,"female",24,0,0,13
160,0,3,"male",28,0,0,9
161,0,3,"male",34,0,0,6
162,0,3,"male",46,0,0,7
163,1,3,"male",18,0,0,8
164,0,3,"female",2,0,1,10
165,0,3,"male",32,1,0,15
166,1,3,"male",26,0,0,18
167,1,3,"female",16,0,0,7
168,1,1,"male",40,0,0,31
169,0,3,"male",24,0,0,7
170,1,2,"female",35,0,0,21
171,0,3,"male",22,0,0,7
172,0,2,"male",30,0,0,13
173,1,1,"female",31,1,0,113
174,1,3,"female",27,0,0,7
175,0,2,"male",42,1,0,27
176,1,1,"female",32,0,0,76
177,0,2,"male",30,0,0,10
178,1,3,"male",16,0,0,8
179,0,2,"male",27,0,0,13
180,0,3,"male",51,0,0,8
181,1,1,"male",38,1,0,90
182,0,3,"male",22,0,0,9
183,1,2,"male",19,0,0,10
184,0,3,"male",20,0,0,7
185,0,2,"male",18,0,0,13
186,1,1,"female",35,1,0,83
187,0,3,"male",29,0,0,7
188,0,2,"male",59,0,0,13
189,1,3,"female",5,4,2,31
190,0,2,"male",24,0,0,10
191,0,2,"male",44,1,0,26
192,1,2,"female",8,0,2,26
193,0,2,"male",19,0,0,10
194,0,2,"male",33,0,0,12
195,0,2,"male",29,0,0,10
196,0,3,"male",22,0,0,7
197,0,3,"male",30,0,0,7
198,0,1,"male",44,2,0,90
199,0,3,"female",25,0,0,7
200,1,2,"female",24,0,2,14
201,1,1,"male",37,1,1,52
202,0,2,"male",54,1,0,26
203,0,3,"female",29,1,1,10
204,0,1,"male",62,0,0,26
205,0,3,"male",30,1,0,16
206,0,3,"female",41,0,2,20
207,1,3,"female",29,0,2,15
208,1,1,"female",30,0,0,86
209,1,1,"female",35,0,0,512
210,1,2,"female",50,0,1,26
211,1,3,"male",3,4,2,31
212,0,1,"male",52,1,1,79
213,0,1,"male",40,0,0,0
214,0,2,"male",36,0,0,10
215,0,3,"male",16,4,1,39
216,1,3,"male",25,1,0,7
217,1,1,"female",58,0,1,153
218,1,1,"female",35,0,0,135
219,1,3,"male",25,0,0,0
220,1,2,"female",41,0,1,19
221,0,1,"male",37,0,1,29
222,1,1,"female",63,1,0,77
223,0,3,"female",45,0,0,7
224,0,3,"male",7,4,1,29
225,1,3,"female",35,1,1,20
226,0,3,"male",65,0,0,7
227,0,3,"male",28,0,0,7
228,0,3,"male",16,0,0,9
229,1,3,"male",19,0,0,8
230,0,3,"male",33,0,0,8
231,1,3,"male",30,0,0,9
232,0,3,"male",22,0,0,7
233,1,2,"male",42,0,0,13
234,1,3,"female",22,0,0,7
235,1,1,"female",26,0,0,78
236,1,1,"female",19,1,0,91
237,0,2,"male",36,0,0,12
238,0,3,"female",24,0,0,8
239,0,3,"male",24,0,0,7
240,0,3,"male",24,0,0,7
241,0,1,"female",2,1,2,151
242,1,1,"female",50,0,1,247
243,0,3,"male",19,0,0,0
244,1,1,"male",1,1,2,151
245,1,1,"female",17,1,0,108
246,0,2,"male",30,1,0,24
247,1,1,"female",30,0,0,56
248,1,1,"female",24,0,0,83
249,1,1,"female",18,2,2,262
250,0,2,"female",26,1,1,26
251,0,3,"male",28,0,0,7
252,0,2,"male",43,1,1,26
253,1,3,"female",26,0,0,7
254,1,2,"female",24,1,0,26
255,0,2,"male",54,0,0,14
256,1,1,"female",31,0,2,164
257,1,1,"female",40,1,1,134
258,0,3,"male",22,0,0,7
259,0,3,"male",27,0,0,7
260,1,2,"female",30,0,0,12
261,1,2,"female",22,1,1,29
262,1,1,"female",36,0,0,135
263,0,3,"male",61,0,0,6
264,1,2,"female",36,0,0,13
265,1,3,"female",31,1,1,20
266,1,1,"female",16,0,1,57
267,0,1,"male",46,0,0,28
268,0,1,"male",38,0,1,153
269,0,3,"male",16,2,0,18
270,0,1,"male",29,1,0,66
271,1,1,"female",41,0,0,134
272,1,3,"male",45,0,0,8
273,0,1,"male",45,0,0,35
274,1,2,"male",2,1,1,26
275,1,1,"female",24,3,2,263
276,0,2,"male",28,0,0,13
277,0,2,"male",25,0,0,13
278,0,2,"male",36,0,0,13
279,1,2,"female",24,0,0,13
280,1,2,"female",40,0,0,13
281,1,3,"male",3,1,1,15
282,0,3,"male",42,0,0,8
283,0,3,"male",23,0,0,9
284,0,3,"male",15,1,1,7
285,0,3,"male",25,1,0,17
286,0,3,"male",28,0,0,9
287,1,1,"female",22,0,1,55
288,0,2,"female",38,0,0,13
289,0,3,"male",40,1,4,27
290,0,2,"male",29,1,0,27
291,0,3,"female",45,0,1,14
292,0,3,"male",35,0,0,7
293,0,3,"male",30,0,0,7
294,1,1,"female",60,1,0,75
295,1,1,"female",24,0,0,69
296,1,1,"male",25,1,0,55
297,0,3,"male",18,1,0,6
298,0,3,"male",19,0,0,8
299,0,1,"male",22,0,0,135
300,0,3,"female",3,3,1,21
301,1,3,"female",22,0,0,7
302,0,1,"male",27,0,2,211
303,0,3,"male",20,0,0,4
304,0,3,"male",19,0,0,7
305,1,1,"female",42,0,0,227
306,1,3,"female",1,0,2,15
307,0,3,"male",32,0,0,7
308,1,1,"female",35,1,0,52
309,0,2,"male",18,0,0,73
310,0,3,"male",1,5,2,46
311,1,2,"female",36,0,0,13
312,1,2,"female",17,0,0,12
313,1,1,"male",36,1,2,120
314,1,3,"male",21,0,0,7
315,0,3,"male",28,2,0,7
316,1,1,"female",23,1,0,113
317,1,3,"female",24,0,2,16
318,0,3,"male",22,0,0,7
319,0,3,"female",31,0,0,7
320,0,2,"male",46,0,0,26
321,0,2,"male",23,0,0,10
322,1,2,"female",28,0,0,12
323,1,3,"male",39,0,0,7
324,0,3,"male",26,0,0,8
325,0,3,"female",21,1,0,9
326,0,3,"male",28,1,0,15
327,0,3,"female",20,0,0,8
328,0,2,"male",34,1,0,21
329,0,3,"male",51,0,0,7
330,1,2,"male",3,1,1,18
331,0,3,"male",21,0,0,7
332,1,1,"female",33,1,0,90
333,1,3,"male",44,0,0,7
334,1,2,"female",34,1,1,32
335,1,2,"female",18,0,2,13
336,0,2,"male",30,0,0,13
337,0,3,"female",10,0,2,24
338,0,3,"male",21,0,0,7
339,0,3,"male",29,0,0,7
340,0,3,"female",28,1,1,14
341,0,3,"male",18,1,1,20
342,1,2,"female",28,1,0,26
343,1,2,"female",19,0,0,26
344,1,3,"male",32,0,0,8
345,1,1,"male",28,0,0,26
346,1,2,"female",42,1,0,26
347,0,3,"male",17,0,0,7
348,0,1,"male",50,1,0,55
349,1,1,"female",14,1,2,120
350,0,3,"female",21,2,2,34
351,1,2,"female",24,2,3,18
352,0,1,"male",64,1,4,263
353,0,2,"male",31,0,0,10
354,1,2,"female",45,1,1,26
355,0,3,"male",20,0,0,9
356,0,3,"male",25,1,0,7
357,1,2,"female",28,0,0,13
358,1,1,"male",4,0,2,81
359,1,2,"female",13,0,1,19
360,1,1,"male",34,0,0,26
361,1,3,"female",5,2,1,19
362,1,1,"male",52,0,0,30
363,0,2,"male",36,1,2,27
364,0,1,"male",30,0,0,27
365,1,1,"male",49,1,0,89
366,1,3,"male",29,0,0,7
367,0,1,"male",65,0,0,26
368,1,2,"female",50,0,0,10
369,1,1,"male",48,0,0,26
370,0,3,"male",34,0,0,8
371,0,1,"male",47,0,0,38
372,0,2,"male",48,0,0,13
373,0,3,"male",38,0,0,7
374,0,1,"male",56,0,0,26
375,1,3,"female",1,2,1,19
376,0,3,"male",38,0,0,8
377,1,2,"female",33,1,2,27
378,1,2,"female",23,0,0,13
379,0,3,"female",22,0,0,9
380,0,2,"male",34,1,0,21
381,0,3,"male",29,1,0,7
382,0,3,"male",22,0,0,7
383,1,3,"female",2,0,1,12
384,0,3,"male",9,5,2,46
385,0,3,"male",50,0,0,8
386,1,3,"female",63,0,0,9
387,1,1,"male",25,1,0,91
388,1,1,"female",35,1,0,90
389,0,1,"male",58,0,0,29
390,0,3,"male",30,0,0,8
391,1,3,"male",9,1,1,15
392,0,3,"male",21,0,0,7
393,0,1,"male",55,0,0,30
394,0,1,"male",71,0,0,49
395,0,3,"male",21,0,0,8
396,1,1,"female",54,1,0,78
397,0,1,"female",25,1,2,151
398,0,3,"male",24,0,0,7
399,0,3,"male",17,0,0,8
400,0,3,"female",21,0,0,7
401,0,3,"female",37,0,0,9
402,1,1,"female",16,0,0,86
403,0,1,"male",18,1,0,108
404,1,2,"female",33,0,2,26
405,0,3,"male",28,0,0,22
406,1,3,"male",26,0,0,56
407,1,3,"male",29,0,0,7
408,1,1,"male",36,0,0,26
409,1,1,"female",54,1,0,59
410,0,3,"male",24,0,0,7
411,0,1,"male",47,0,0,34
412,1,2,"female",34,0,0,10
413,1,2,"female",36,1,0,26
414,0,3,"male",32,0,0,7
415,1,1,"female",30,0,0,93
416,0,3,"male",22,0,0,7
417,1,1,"female",44,0,1,57
418,0,3,"male",40,0,0,7
419,1,2,"female",50,0,0,10
420,0,3,"male",39,0,0,7
421,0,2,"male",23,2,1,11
422,1,2,"female",2,1,1,26
423,0,3,"male",17,1,1,7
424,0,3,"female",30,0,0,8
425,1,2,"female",7,0,2,26
426,0,1,"male",45,0,0,26
427,1,1,"female",30,0,0,106
428,1,1,"female",22,0,2,49
429,1,1,"female",36,0,2,71
430,0,3,"female",9,4,2,31
431,0,3,"female",11,4,2,31
432,1,2,"male",32,1,0,26
433,0,1,"male",50,1,0,106
434,0,1,"male",64,0,0,26
435,1,2,"female",19,1,0,26
436,0,3,"male",33,1,1,20
437,1,2,"male",8,1,1,36
438,1,1,"male",17,0,2,110
439,0,2,"male",27,0,0,26
440,1,3,"male",22,0,0,7
441,1,3,"female",22,0,0,7
442,0,1,"male",62,0,0,26
443,1,1,"female",48,1,0,39
444,1,1,"female",39,1,1,79
445,1,3,"female",36,1,0,17
446,0,3,"male",40,0,0,7
447,0,2,"male",28,0,0,13
448,0,3,"male",24,2,0,24
449,0,3,"male",19,0,0,7
450,0,3,"female",29,0,4,21
451,1,3,"male",32,0,0,7
452,1,2,"male",62,0,0,10
453,1,1,"female",53,2,0,51
454,1,1,"male",36,0,0,26
455,0,3,"male",16,0,0,8
456,0,3,"male",19,0,0,14
457,1,2,"female",34,0,0,13
458,1,1,"female",39,1,0,55
459,1,3,"male",32,0,0,7
460,1,2,"female",25,1,1,30
461,1,1,"female",39,1,1,110
462,0,2,"male",54,0,0,26
463,0,1,"male",36,0,0,40
464,1,1,"female",18,0,2,79
465,0,2,"male",47,0,0,15
466,1,1,"male",60,1,1,79
467,0,3,"male",22,0,0,8
468,0,3,"male",35,0,0,7
469,1,1,"female",52,1,0,78
470,0,3,"male",47,0,0,7
471,0,2,"male",37,1,0,26
472,0,3,"male",36,1,1,24
473,0,3,"male",49,0,0,0
474,1,1,"male",49,1,0,56
475,1,2,"female",24,2,1,27
476,0,3,"male",44,0,0,8
477,1,1,"male",35,0,0,26
478,0,3,"male",36,1,0,15
479,0,3,"male",30,0,0,7
480,1,1,"male",27,0,0,30
481,1,2,"female",22,1,2,41
482,1,1,"female",40,0,0,153
483,0,3,"female",39,1,5,31
484,0,3,"male",35,0,0,8
485,1,2,"female",24,1,2,65
486,0,3,"male",34,1,1,14
487,0,3,"female",26,1,0,16
488,1,2,"female",4,2,1,39
489,0,2,"male",26,0,0,10
490,0,3,"male",27,1,0,14
491,1,1,"male",42,1,0,52
492,1,3,"male",20,1,1,15
493,0,3,"male",21,0,0,7
494,0,3,"male",21,0,0,16
495,0,1,"male",61,0,0,32
496,0,2,"male",57,0,0,12
497,1,1,"female",21,0,0,77
498,0,3,"male",26,0,0,7
499,1,1,"male",80,0,0,30
500,0,3,"male",51,0,0,7
501,1,1,"male",32,0,0,30
502,0,3,"female",9,3,2,27
503,1,2,"female",28,0,0,13
504,0,3,"male",32,0,0,7
505,0,2,"male",31,1,1,26
506,0,3,"female",41,0,5,39
507,0,3,"male",20,0,0,7
508,1,1,"female",24,0,0,69
509,0,3,"female",2,3,2,27
510,1,3,"female",1,2,1,19
511,1,1,"male",48,1,0,76
512,0,3,"male",19,0,0,7
513,1,1,"male",56,0,0,35
514,1,3,"female",23,0,0,7
515,1,2,"female",18,0,1,23
516,0,3,"male",21,0,0,8
517,0,3,"female",18,0,0,6
518,0,2,"male",24,2,0,73
519,0,3,"female",32,1,1,15
520,0,2,"male",23,0,0,13
521,0,1,"male",58,0,2,113
522,1,1,"male",50,2,0,133
523,0,3,"male",40,0,0,7
524,0,1,"male",47,0,0,25
525,0,3,"male",36,0,0,7
526,1,3,"male",20,1,0,7
527,0,2,"male",32,2,0,73
528,0,2,"male",25,0,0,13
529,0,3,"male",43,0,0,8
530,1,2,"female",40,1,1,39
531,0,1,"male",31,1,0,52
532,0,2,"male",70,0,0,10
533,1,2,"male",31,0,0,13
534,0,3,"male",18,0,0,7
535,0,3,"male",24,0,0,8
536,1,3,"female",18,0,0,9
537,0,3,"female",43,1,6,46
538,1,1,"male",36,0,1,512
539,1,1,"male",27,0,0,76
540,0,3,"male",20,0,0,9
541,0,3,"male",14,5,2,46
542,0,2,"male",60,1,1,39
543,0,2,"male",25,1,2,41
544,0,3,"male",14,4,1,39
545,0,3,"male",19,0,0,10
546,0,3,"male",18,0,0,7
547,1,1,"female",15,0,1,211
548,1,1,"male",31,1,0,57
549,1,3,"female",4,0,1,13
550,0,3,"male",25,0,0,7
551,0,1,"male",60,0,0,26
552,0,2,"male",52,0,0,13
553,0,3,"male",44,0,0,8
554,0,1,"male",49,1,1,110
555,0,3,"male",42,0,0,7
556,1,1,"female",18,1,0,227
557,1,1,"male",35,0,0,26
558,0,3,"female",18,0,1,14
559,0,3,"male",25,0,0,7
560,0,3,"male",26,1,0,7
561,0,2,"male",39,0,0,26
562,1,2,"female",45,0,0,13
563,1,1,"male",42,0,0,26
564,1,1,"female",22,0,0,151
565,1,1,"female",24,0,0,49
566,1,1,"male",48,1,0,52
567,0,3,"male",29,0,0,9
568,0,2,"male",52,0,0,13
569,0,3,"male",19,0,0,7
570,1,1,"female",38,0,0,227
571,1,2,"female",27,0,0,10
572,0,3,"male",33,0,0,7
573,1,2,"female",6,0,1,33
574,0,3,"male",17,1,0,7
575,0,2,"male",34,0,0,13
576,0,2,"male",50,0,0,13
577,1,1,"male",27,1,0,53
578,0,3,"male",20,0,0,8
579,1,2,"female",30,3,0,21
580,0,2,"male",25,1,0,26
581,0,3,"female",25,1,0,7
582,1,1,"female",29,0,0,211
583,0,3,"male",11,0,0,18
584,0,2,"male",23,0,0,13
585,0,2,"male",23,0,0,13
586,0,3,"male",28,0,0,16
587,0,3,"female",48,1,3,34
588,1,1,"male",35,0,0,512
589,0,1,"male",36,1,0,78
590,1,1,"female",21,2,2,262
591,0,3,"male",24,1,0,16
592,1,3,"male",31,0,0,7
593,0,1,"male",70,1,1,71
594,0,3,"male",16,1,1,20
595,1,2,"female",30,0,0,13
596,0,1,"male",19,1,0,53
597,0,3,"male",31,0,0,7
598,1,2,"female",4,1,1,23
599,1,3,"male",6,0,1,12
600,0,3,"male",33,0,0,9
601,0,3,"male",23,0,0,7
602,1,2,"female",48,1,2,65
603,1,2,"male",1,1,1,14
604,0,3,"male",28,0,0,7
605,0,2,"male",18,0,0,11
606,0,3,"male",34,0,0,8
607,1,1,"female",33,0,0,86
608,0,3,"male",41,0,0,7
609,1,3,"male",20,0,0,7
610,1,1,"female",36,1,2,120
611,0,3,"male",16,0,0,7
612,1,1,"female",51,1,0,77
613,0,3,"female",30,0,0,7
614,0,3,"male",32,0,0,8
615,0,3,"male",24,0,0,9
616,0,3,"male",48,0,0,7
617,0,2,"female",57,0,0,10
618,1,2,"female",54,1,3,23
619,0,3,"male",18,0,0,7
620,1,3,"female",5,0,0,12
621,1,1,"female",43,0,1,211
622,1,3,"female",13,0,0,7
623,1,1,"female",17,1,0,57
624,0,1,"male",29,0,0,30
625,0,3,"male",25,0,0,7
626,0,3,"male",25,0,0,7
627,1,3,"female",18,0,0,7
628,0,3,"male",8,4,1,29
629,1,3,"male",1,1,2,20
630,0,1,"male",46,0,0,79
631,0,2,"male",16,0,0,26
632,0,3,"male",25,0,0,7
633,0,2,"male",39,0,0,13
634,1,1,"female",49,0,0,25
635,1,3,"female",31,0,0,8
636,0,3,"male",30,0,0,7
637,0,3,"female",30,1,1,24
638,0,2,"male",34,0,0,13
639,1,2,"female",31,1,1,26
640,1,1,"male",11,1,2,120
641,1,3,"male",0,0,1,8
642,1,3,"male",27,0,0,6
643,0,3,"male",31,0,0,7
644,0,1,"male",39,0,0,0
645,0,3,"female",18,0,0,7
646,0,2,"male",39,0,0,13
647,1,1,"female",33,1,0,53
648,0,3,"male",26,0,0,7
649,0,3,"male",39,0,0,24
650,0,2,"male",35,0,0,10
651,0,3,"female",6,4,2,31
652,0,3,"male",30,0,0,8
653,0,3,"female",23,0,0,7
654,0,2,"male",31,1,1,37
655,0,3,"male",43,0,0,6
656,0,3,"male",10,3,2,27
657,1,1,"female",52,1,1,93
658,1,3,"male",27,0,0,8
659,0,1,"male",38,0,0,0
660,1,3,"female",27,0,1,12
661,0,3,"male",2,4,1,39
662,1,2,"male",1,0,2,37
663,1,1,"female",62,0,0,80
664,1,3,"female",15,1,0,14
665,1,2,"male",1,1,1,18
666,0,3,"male",23,0,0,7
667,0,3,"male",18,0,0,8
668,1,1,"female",39,1,1,83
669,0,3,"male",21,0,0,8
670,1,3,"male",32,0,0,56
671,0,3,"male",20,0,0,7
672,0,2,"male",16,0,0,10
673,1,1,"female",30,0,0,31
674,0,3,"male",34,0,0,6
675,0,3,"male",17,0,0,8
676,0,3,"male",42,0,0,7
677,0,3,"male",35,0,0,7
678,0,2,"male",28,0,1,33
679,0,3,"male",4,4,2,31
680,0,3,"male",74,0,0,7
681,0,3,"female",9,1,1,15
682,1,1,"female",16,0,1,39
683,0,2,"female",44,1,0,26
684,1,3,"female",18,0,1,9
685,1,1,"female",45,1,1,164
686,1,1,"male",51,0,0,26
687,1,3,"female",24,0,3,19
688,0,3,"male",41,2,0,14
689,0,2,"male",21,1,0,11
690,1,1,"female",48,0,0,25
691,0,2,"male",24,0,0,13
692,1,2,"female",42,0,0,13
693,1,2,"female",27,1,0,13
694,0,1,"male",31,0,0,50
695,1,3,"male",4,1,1,11
696,0,3,"male",26,0,0,7
697,1,1,"female",47,1,1,52
698,0,1,"male",33,0,0,5
699,0,3,"male",47,0,0,9
700,1,2,"female",28,1,0,24
701,1,3,"female",15,0,0,7
702,0,3,"male",20,0,0,9
703,0,3,"male",19,0,0,7
704,1,1,"female",56,0,1,83
705,1,2,"female",25,0,1,26
706,0,3,"male",33,0,0,7
707,0,3,"female",22,0,0,10
708,0,2,"male",28,0,0,10
709,0,3,"male",25,0,0,7
710,0,3,"female",39,0,5,29
711,0,2,"male",27,0,0,13
712,1,1,"female",19,0,0,30
713,1,1,"male",26,0,0,30
714,0,3,"male",32,0,0,7
